translit,pos,english,logograms,cuneiform,freq
mūšu,N,night; at night; tonight; night-time,MI,𒈪,524
rūqu,AJ,distant; profound; deep; far apart; long; unfathomable; distance,,,524
šiṭru,N,(piece of) writing; song; inscription; (meaning unknown),SAR,𒊬,524
dekû,V,raise; wake up; awaken; call up; lifting; raising; remove; stir (up),ZI,𒍣,523
balālu,V,mix; be(come) mingled; mix (up); mixing up; knead; smear; coating; mixing,HE.HE HI HI.HI,𒄭,522
adanniš,AV,very much; greatly,,,519
kakkabu,N,star; evening,MUL MUL-ME UL MUL.MUL,,519
nakāru,V,be(come) different; be(come) difficult; be(come) hostile; change; be changed; clearing; be(com)ing hostile; changing,,,519
mušarû,N,(royal) inscription,MU.SAR,𒈬𒊬,517
napharu,N,total; grand total; (the) whole; all; totality; entirety,PAP NIGIN PAP.PAP SA,𒉽,515
palāsu,V,look (at); gaze; gazing; looking (at); look at; looking at; examine; face,IGI.BAR IGI,𒅆𒁇,514
naqāru,V,demolish; be demolished; scratch; be(come) ruined; demolishing; dismantling; scratching; destroying,,,513
šīmtu,N,fate; destiny; what is fixed; will,NAM NAM.TAR NAM-ME,𒉆,510
karānu,N,vine; wine; grape,,,509
uššu,N,foundation(s); (a copper vessel); nugget; foundation; foundation trench,,,509
šakkanakku,N,(military) governor; (military) general; royal title,,,509
pīhātu,N,responsibility; province; provincial governor; sector; post; governor,NAM EN.NAM,𒉆,504
mala,PRP,as much as; as many as; any; as many; whatever; such as (something) is; such as something is,,,503
šatû,V,drink; drink repeatedly; drinking; be drunk; continally drink; knot together; weave; weaving,NAG,,503
siparru,N,bronze; shackles; fetters,UD.KA.BAR ZABAR URUDU,𒌓𒅗𒁇,502
šarāku,V,present; grant; bestow; gave; give; giving; suppurate; (meaning unknown),A.MU.RU,𒀀𒈬𒊒,493
rakāsu,V,bind; attach; cover; set out; pack up; attaching; binding; establish,,,492
harrānu,N,way; road; path; campaign; journey; tool; carpenter's tool; caravan,KASKAL KASKAL-ME KASKAL-MIN KASKAL.II KASKAL.2,𒆜,491
nagû,N,region; district,,,489
rabû,N,great one; big one; adult; big unit; chairman; fast arc; main meal; nobleman,GAL GAL-ME GU.LA LU.GAL PA.PA GAL-SAG,𒃲,488
daltu,N,door,,,486
išû,V,have; having,TUKU TUK,𒌇,484
werû,N,copper,URUDU URUDA URUDU-HI.A URUDU.HI.A,𒍏,483
imēru,N,donkey; unit; part of a boat; a unit of capacity,,,481
šaknu,AJ,placed; set; located; provided with; covered; equipped; displayed; formed,GAR GAR.RA GI,𒃻,480
erbe,NU,four,LIMMU,𒐼,477
qēmu,N,flour; powder,,,477
naṣāru,V,guard; hold; watch out; observe; be on guard; be on one's guard; guarding; protect,PAP,𒉽,476
yâti,IP,me; to me,,,476
lemuttu,N,evil; misfortune; wrongdoing; wickedness,SAG.HUL.HA.ZA HUL HUL-ME MUNUS.HUL MUNUS.HUL-MU,,475
mādu,AJ,many; numerous; much; extremely; many things; significant; very; large,HI.A,𒄭𒀀,475
mahāṣu,V,beat; continually cause to beat; fight; beating; fighting; hurt?; slaughter; stab,RA RA.RA,𒊏,474
iṣṣūru,N,bird,BALAG,𒁆,473
lemnu,AJ,bad; evil one; evil; foe; unfavourable; evil (one); malicious,HUL HUL.A HUL-ME MUNUS.HUL HUL.DIDLI,,471
qanû,N,reed; reed arrow; unit; (meaning uncertain); arrow,GI GI.DUB.BA.A GI-HI.A GI-DUB,𒄀,471
paqādu,V,entrust; consigning; appoint; be(come) careful; care for; caring for; be(come) entrusted; checking,,,470
paṭāru,V,loosen; letting go; be(come) solved; cancel; clear away; relaxing; release; remove,,,470
dabābu,V,"speak; persuade; talk; talking; speak, talk; claim; litigate; recite",,,468
mīnu,QP,what?; why?; what; whatever,,,468
malku,N,prince; king; (a netherworld deity); advice; ruler,,,467
nasāhu,V,tear out; deduct; pull out; be torn out; perform (a sheep offering); removing; (meaning unknown); clear out,ZI MA SUH,𒍣,467
šû,IP,he; it,,,467
burāšu,N,(species of) juniper; juniper,LI,𒇷,465
eleppu,N,ship; boat,,,465
damqu,N,good one; finery; beautiful one; good fortune; good thing(s),,,464
sahāru,V,go around; encircle; search around; search; seek; taking care; search for; turn,NIGIN,,464
palāhu,V,fear; adoration; fearing; revering; terrify; frightening; revere; be(come) afraid,MUD,,463
kullatu,N,clay pit; totality; all; all (of); all of,KI.GAR GUL.LA,𒆠𒃻,461
māhāzu,N,shrine; cult centre; (market) town; spring,,,461
dullu,N,trouble; work; service; task; ritual; treatment,,,458
miṣru,N,border; territory,,,457
napālu,V,dig; be demolished; demolish; digging; dig out; digging out; destroying; gouging,,,455
emēdu,V,lean on; continually join together; impose; make lean on; be(come) stationary; come together; inflict; install,,,453
nabû,V,name; agree; lament; lamenting; to name; naming; call; calling,,,453
anāhu,V,be(come) tired; be(come) depressed; be(come) dilapidated; be(com)ing depressed; getting tired; be(com)ing dejected; be(com)ing tired; to trouble,,,452
šalāmu,V,be(come) healthy; deliver soundly; go well; keep safe; keep well; be(com)ing healthy; be(com)ing well; be(come) favourable,AL.SILIM GI SILIM,𒄀,452
ṣēnu,N,flock; small cattle; evil one; evildoer; sheep (and goats); evil; sheep and goats; sheep,,,452
rabû,V,be(come) big; grow; make grow; enlarge; increase; be promoted; grow up; rear,,,451
sihirtu,N,surroundings; circumference; entirety; district; all,NIGIN,,451
simtu,N,appropriate symbol; proper sign; appropriateness; characteristic; features; rank; appropriate thing; (palace) property,ME.TE,𒈨𒋼,451
ummu,N,mother; heat; fever; summer; (part of plough); (a bird); (a reed or rush rope); (summer) heat,AMA AMA-ME AMA.A AMA-LUGAL AMA-MAN,,449
aššu,PRP,because (of); as for; because; concerning; in order that; in order to; so that,,,446
eqlu,N,field; area; terrain; the sign GANA₂; land,GI.ZU.LUM.MA,𒄀𒍪𒈝𒈠,446
pūtu,N,forehead; facade; front; person; responsibility; width; front (side) of plot of land; short side (of a field),SAG SAG.KI SAG.KI-BI,𒊕,445
wašāru,V,sink down; release; loosen; be released; ignore; leave; releasing; be(com)ing free,,,443
peṣû,AJ,white; white one,BABBAR BABBAR-ME,,440
tāmartu,N,view(ing); audience-gift; spectacle; appearance; audience; visibility; inspection; audience gift,IGI.DU IGI,𒅆𒁺,438
pašāru,V,release; be(come) satisfied; be(come) soothed; reconciliation; reveal; absolve; be(come) released; releasing,BA.AN.BU.RU,𒁀𒀭𒁍𒊒,435
ai,MOD,not,,,431
ṭūbu,N,goodness; best; happiness; luck; well being,,,431
abullu,N,(city) gate; gate; city gate; portal fissure of the liver,ABUL,,428
dāmu,N,blood; bleeding; resin; sap; red wine; cedar-resin,,,428
išdu,N,foundation; foundations; base; root; position; bottom; legs,,,426
warkû,AJ,rear; intercalary; back; secondary; later,DIRI EGIR-ME KIN.DIRI EGIR,𒂕𒈨,426
warki,PRP,behind; after; afterwards; later,EGIR,𒂕,425
uznu,N,ear; attention; wisdom; intelligence; understanding; lug-handle,PI.2,,422
nawāru,V,be(come) bright; be(come) cheerful; gladness; luminosity; shine; brighten; be(com)ing bright; brightening,ZAL,,421
inūma,SBJ,when; at that time,UD,𒌓,416
kupru,N,bitumen; pitch; tar pitch,ESIR.UD.A ESIR.UD.DU ESIR ESIR.UD.DU.A,,416
eššiš,AV,anew,GIBIL,,414
igub,AJ,inscribed sign,,,414
parakku,N,cult dais; throne; (royal) dais; sanctuary; shrine; dais,BARAG,,414
kišpu,N,sorcery; witchcraft,,,413
šūt rēši,N,attendant; eunuch,,,413
