translit,pos,english,logograms,cuneiform,freq
kilsukku,N,(part of plough); (part of a plough),,,3
kimkimmu,N,wrist (joint),,,3
kirru,N,(a big jar),,,3
kirādu,N,(leather container),,,3
kisiggû,N,funerary offerings,,,3
kitītu,N,linen robe,,,3
kiššanu,N,(a leguminous vegetable),,,3
kiṣir libbi,N,anger,,,3
kiṣṣuru,AJ,interlocked; entwined; gird with,,,3
kubtu,N,lump,,,3
kubuttû,N,abundance; abundant wealth,,,3
kulmašītu,N,(a cultic prostitute),,,3
kungu,N,(a kind of rush),,,3
kunninu,N,(a basin for liquid); (a basin for liquids),,,3
kunnû,N,cared for one; well-finished one,,,3
kuriu,AJ,short,,,3
kurkurrānu,N,(designation of a sheep),,,3
kurādu,N,(an implement),,,3
kutum libbi,N,stomach tissue,,,3
kutummu,N,cover(ing),,,3
kuṣīmu,N,(a bent stick); hatchet,,,3
kuṣṣu,N,coldness,,,3
kīdānu,N,outside,,,3
kīnūtu,N,loyalty; righteousness; trust,,,3
lahiyānātu,N,(a kind of shell),,,3
lakādu,V,run; running,,,3
lallaru,N,(professional) mourner; wailer; mourner,,,3
lalânû,AJ,flourishing; luxuriant,,,3
laptānû,AJ,turnip-coloured,,,3
lašû,N,(part of body),,,3
laʾšu,AJ,polluted; bothered,,,3
laḫābu,V,rumble; growl,,,3
lezû,V,continue; continuing,,,3
leʾû,AJ,powerful; competent,,,3
libba našû,V,wish; desire,,,3
lihšu,N,whisper(ing); whispering,,,3
liligû,N,colocynth,,,3
lipi magarri,N,axle grease,,,3
lubbušu,AJ,clothed; dressed,,,3
lubussu,N,clothing; clothes,,,3
lugalaraussû,N,(a royal retainer),,,3
luhhumu,AJ,with long-haired coat,,,3
lullubūtu,N,(a plant),,,3
lulmû,N,earring; type of metal?,,,3
lummakku,N,(a minor priest),,,3
lumā,MOD,meaning unknown,,,3
lurmû,N,pomegranate,,,3
luʾʾubu,AJ,infected,,,3
lāʾiriānu,N,standing water,,,3
madāru,V,(meaning unknown); flooding?,,,3
magguru,V,tear down,,,3
magrû,N,insulting one,,,3
magurgurru,N,ark,,,3
mahhalu,N,(a basket or box),,,3
mahhu,AJ,soaked; swollen; exalted,,,3
mahriš,AV,in front; in front of,,,3
maksû,N,(medical) bandage,,,3
malātu,V,meaning unknown; tearing off,,,3
mamma,XP,somebody; anyone,,,3
mammû,N,frost; ice,,,3
mandattu,N,payment; tribute,,,3
mandītu,N,surprise (attack); surprise attack; warrant,,,3
mangāru,N,(a large basket),,,3
marqu,AJ,ground,,,3
maru,N,son,,,3
masdaru,N,duration; permanence; (a knife)?,,,3
masiktu,N,badness,,,3
maturru,N,(little) boat,,,3
matēma,AV,ever,,,3
mazāqu,V,suck; suck out,,,3
mašgubbu,N,sexually mature goat,,,3
maštu,N,(an itching skin condition),,,3
mašāšu,V,wipe off; wipe clean,,,3
mašīhu,N,measure,,,3
maššartu,N,deduction; @i{maššartu}-delivery,,,3
mašʾu,AJ,taken by force; destitute; robbed,,,3
maʾādu,V,be(come) many; amass; making more numerous,,,3
maḫru,AJ,received,,,3
maḫrû,AJ,first; previously; older,,,3
mehratu,N,copy; likeness,,,3
merītu,N,pasture,,,3
mihhu,N,(a type of beer),,,3
mimmāmu,XP,everything,,,3
minduhru,N,residue,,,3
mitgurtu,N,agreement,,,3
mitguru,AJ,agreeing; (previously) agreed; agreed,,,3
mudeššû,N,life-giver; one who supplies copiously; provider,,,3
muhammiṣu,N,one who strips,,,3
mukabbû,N,stitcher; tailor,,,3
mukanzibtu,N,(a water clock),,,3
mulabbiru,N,one who makes lasting,,,3
munabbû,N,(a lamentation priest),,,3
muparku,N,one who places athwart; one who puts something in opposition,,,3
muqqu,N,weakened one,,,3
murakkisu,N,binder of sheaves,,,3
murriku,N,one who lengthens; one who makes long,,,3
murīšu,N,one who gives cause for rejoicing; one who makes exult,,,3
musallimtu,N,one who reconciles,,,3
musallitu,N,one who slits,,,3
musku,N,something bad?; (a tree),,,3
mutaqqinu,N,one who puts in order,,,3
muttakpu,AJ,goring,,,3
muttalliktu,N,regularly moving; rails; course; way,,,3
muttaprišu,N,flying one,,,3
muttašrabbiṭu,N,drifter; drifting about,,,3
muttaššû,N,one who supports,,,3
mutēr gimilli,N,avenger,,,3
mutūtu,N,status of husband; manliness,,,3
muzaʾʾizu,N,one who divides,,,3
mušabšû,N,one who calls into existence; creator,,,3
mušaddilu,N,one who expands something,,,3
mušakmisu,N,one who makes someone kneel,,,3
mušakṣiru,N,one who organizes; one who causes to organize,,,3
mušalqû,N,one who causes to take; one who brings,,,3
mušamhiṣu,N,inciter to fight; instigator; troublemaker,,,3
mušannû,N,meaning unknown; one who repeats,,,3
mušaqqiru,N,that which pierces,,,3
mušardû,AJ,leaking,,,3
mušihhu,N,(water-clock); (a water-clock); (awater-clock),,,3
mušnammiru,N,illuminator,,,3
mušparzihu,N,one who makes abundant,,,3
muštapiku,N,one who piles up,,,3
muštaškinu,N,designation of god; potter's tool,,,3
muštaʾʾû,AJ,idle; at leisure,,,3
mušātiru,N,one who expands,,,3
muššuru,AJ,exempt; abandoned,,,3
muṣabbitu,N,one who seizes,,,3
muṣṣāltu,N,"(a term for the gall bladder); (a mineral); (a term for the gall bladder, perhaps) gallstone",,,3
māgiru,AJ,submissive; obedient (person),,,3
mākālû,N,meal,,,3
mānahu,N,earnings; hard labour,,,3
mār ahāti,N,sisterʾs son; nephew,,,3
mēleṣu,N,excitement; joy,,,3
mūdûtu,N,knowledge,,,3
nabrû,N,(a copper vessel)?; (part of plough),,,3
nabāsiš,AV,like red wool,,,3
nahbû,N,(a drinking vessel),,,3
nahbātu,N,(a leather or reed carrying-case),,,3
nahlu,N,stream; wadi,,,3
naklu,AV,skilful; elaborate,,,3
naktamtu,N,"cover; cover, lid",,,3
nalbubu,AJ,furious,,,3
nalāšu,V,(fall as) dew; (falling as) dew,,,3
nammušīšu,AJ,mobile; dead,,,3
namruqqu,N,(medical plant); (a medicinal plant),,,3
namsuhu,N,crocodile,,,3
namurru,AJ,awe-inspiringly radiant,,,3
naparqudu,V,lie on someone's back; lie down; lie on one's back,,,3
napdû,N,"fastening (rope, band?)",,,3
naprahtu,N,(a fermenting vessel),,,3
napû,N,sieved one; sieved,,,3
napādiš,AV,for the purpose of separating,,,3
napāgu,V,go into hiding; going into hiding,,,3
napḫu,AJ,blown on; kindled; risen,,,3
naqdu,N,one in critical state,,,3
naqrabu,N,closeness; fight(ing zone),,,3
narpasu,N,threshing shovel?; threshing shovel; shovel,,,3
narqītu,N,perfume; place of refuge,,,3
nashapu,N,(a basket),,,3
natallu,N,(part of the body),,,3
nattullu,N,(part of harness); donkey harness,,,3
nazarbubu,V,(tremble with) rage; (trembling with) rage; to tremble with rage,,,3
nazru,AJ,cursed; malicious,,,3
našbaṭu,N,trimmed palm-frond; palm branch,,,3
naṣbaru,N,(a door mounting),,,3
naṣpadu,N,floating rib of a sheep,,,3
naṭpu,AJ,torn out; (meaning unknown),,,3
nekelmû,AJ,frowning,,,3
nepṣû,N,(an intestinal illness),,,3
nešmû,N,hearing,,,3
nikittu,N,anxiety,,,3
nindû,AJ,known; knowledgeable,,,3
nipṣu,N,smashing,,,3
nisḫu,N,extract(ion); extract,,,3
niāru,N,papyrus,,,3
niʾšu,N,difficulty in breathing,,,3
nuggatu,N,rage,,,3
nuḫšu,N,abundance,,,3
nādintu,N,giver,,,3
nārūtu,N,profession of musician,,,3
nēmel,SBJ,because,,,3
nērebtu,N,entrance; pass,,,3
nēru,N,(dimension of a field); (a bird); (a bird?),,,3
nīpu,N,dried wood,,,3
nūbu,N,(a cucurbitaceous plant),,,3
palḫu,AJ,fearful; frightened,,,3
panû,V,face; go in front; proceed,,,3
parasrab,N,five-sixths,,,3
parriktu,N,strut; crossbar,,,3
paruššu,N,(a sharp stick); goad,,,3
pasehtu,N,(part of) the intestines; (part of) the intestine,,,3
passu,AJ,erased,,,3
passurtu,N,message; good news,,,3
pasāmu,V,veil; veiling,,,3
pattû,AJ,open(ed); dismissed,,,3
pašku,N,(a bird),,,3
piqtatti,AV,perhaps; surely,,,3
piriggunû,N,(a coloured stone),,,3
piriku,N,chatterer,,,3
pisnuqu,AJ,feeble,,,3
purdātu,N,(gem-stones)?,,,3
purruru,AJ,scattered,,,3
pursāsu,N,(rear) lock of hair,,,3
pusummu,N,veil; veiled one,,,3
putru,N,animal droppings,,,3
puššuṭu,AJ,erased,,,3
puʾē,N,chaff; hay,,,3
puṭāru,N,grazing bull?,,,3
pāliku,N,divider?; one who processes textiles,,,3
pān šatti,N,spring,,,3
pāṭiru,N,releaser,,,3
qabūtu,N,bowl,,,3
qadmu,N,pre-eminent one?; former time,,,3
qan ṭuppi,N,stylus,GI.DUB.BA.A,𒄀𒁾𒁀𒀀,3
qarhu,N,ice,,,3
qatānu,V,be(come) thin; make thin,,,3
qatāpu,V,pluck; pluck off,,,3
qaššu,AJ,holy,,,3
qaṭû,V,come up; approach,,,3
qebru,AJ,buried,,,3
qenû,V,be(come) jealous,,,3
qiddat ūmi,N,evening,,,3
qiddu,N,vault (of sky),,,3
qitrubu,AJ,close together,,,3
qubūru,N,grave; burial place,,,3
qudmû,AJ,primordial,,,3
qumāru,N,shoulder,,,3
qurunniš,AV,into a heap,,,3
qûʾiš,AV,like threads,,,3
qāt māmīti,N,(a disease),,,3
qība šakānu,V,make statement; make prediction,,,3
rab bīrti,N,fort commander,,,3
rabbu,AJ,soft; gentle,,,3
rabûtu,N,greatness,,,3
rabūtešu,AV,for the fourth time,,,3
rabṣu,N,recumbent one,,,3
rakkabu,N,sailor; ready to mount (sexually),,,3
ramāṣu,V,enclose; mounting?; enclosing,,,3
raqû,AJ,hidden,,,3
ratātu,V,tremble,,,3
rašdu,AJ,firmly founded,,,3
raṭbu,N,damp one; trim,,,3
redîš,AV,in succession,,,3
ribku,N,concoction; infusion,,,3
ritkubu,N,copulating with each other; copulating,,,3
ritmuku,AJ,bathed,,,3
ruppušu,AJ,very wide,,,3
ruššušu,AJ,heated up; incensed,,,3
ruṣṣunu,AJ,loud-voiced; beautiful?; loud-voiced?,,,3
rādi kibsi,N,tracker,,,3
rāhû,N,pourer; inseminator; inseminating,,,3
rāmimu,N,roarer,,,3
rāqūtē-,N,emptiness; empty-handed,,,3
rāʾimānu,N,one who loves,,,3
rēhu,N,rest; remainder; remaining,,,3
rēš eqli,N,destination,,,3
rēša šuqqû,V,support,,,3
sadāhu,V,unknown meaning,,,3
salû,AJ,sick; despised,,,3
samahhu,N,(net)?; (a net)?; (a net),,,3
samhu,AJ,mixed; assorted?,,,3
samānû,NU,eighth; one-eighth,,,3
sanānu,V,(meaning unknown); making flow in channel?; making flow,,,3
sapādu,V,mourn; mourning,,,3
sarmāʾu,N,(fore)arm; yoke,,,3
sassaptu,N,eyelashes,,,3
saʾuru,N,(an ornament),,,3
sepīru,N,parchment scribe; interpreter scribe (of Aramaic),,,3
sikarû,N,(palm-bark spikes)?,,,3
sillatu,N,(a type of) shell,,,3
silʾu,N,sprinkling; lustration,,,3
simkurru,N,(a hunted animal),,,3
sinniltu,N,woman,,,3
sinnurbû,N,weak-sighted person?; weak-sighted person,,,3
sisȗ,N,horse,KUR,𒆳,3
siāmu,V,be red; dye red; be(come) red,,,3
subbutu,NU,one seventh,,,3
summuhu,AJ,mixed; various; miscellaneous,,,3
suparinnu,N,(a bronze object),,,3
suʾālu,N,cough; phlegm,BAR.ZI.LUH,𒁇𒍣𒈛,3
sāhiru,AJ,convoluted; turning,,,3
sākipu,N,pusher away; one who overthrows,,,3
sāḫiru,N,turning; sorcerer,,,3
sīku,N,powder,KU.KU,𒆪𒆪,3
tabrību,N,red wool,,,3
tabāštānu,N,excrement,,,3
takkittu,N,(a leather object),,,3
takṣâtu,N,cold weather; frost; cooling?,,,3
tallulu,AJ,equipped; laid,,,3
talʾītu,N,ointment dressing; (absorptive) dressing,,,3
tamhuṣu,N,battle; clash,,,3
tamirtu,N,(a type of) meadow; meadow,,,3
tangagtu,N,(a knife?),,,3
tappištu,N,plucking (of wool),,,3
tapzertu,N,concealment,,,3
tarabānu,N,(a plant),,,3
tarbû,N,alumnus; trainee; apprentice,,,3
tardennu,N,secondary one; secondary meal; second(ary) one,,,3
tarmīku,N,(a tree seedling),,,3
taslimtu,N,(re)conciliation; malicious talk,,,3
tattūru,N,superfluity; profit,,,3
tašnû,N,repetition; tongs?,,,3
teknītu,N,loving care,,,3
temru,AJ,buried; covered; sunken,,,3
tibbutti eqli,N,field-drum (a plant); 'field-drum'-plant,,,3
tikātu,N,(meaning unknown),,,3
tilimtu,N,(a drinking vessel),,,3
tilmuttu,N,(a musical instrument),,,3
titennu,N,hay fork,,,3
titurru,N,bridge,,,3
titāpû,N,beer mash,,,3
tubku,N,ruin heap; (ruin) heap,,,3
tublu,N,foundation trench; pilaster,,,3
tugāru,N,deposited material,,,3
tuklu,N,help,,,3
tumāru,N,textile,,,3
tuniqānu,N,(a shorn sheep),,,3
tuqnu,N,(meaning unknown); good order,,,3
turruṣu,AJ,directed; pointing; (meaning uncertain),,,3
tâmû,N,(type of apple-like tree); (a type of apple-like tree),,,3
tānēḫu,N,moaning; sigh,,,3
tāwītu,N,response; (malicious) speech; response (to omen query); (a type of sheep); oracle query,,,3
tūamu,N,twin,,,3
ubbubu,AJ,cleansed,,,3
ubbutu,AJ,completely destroyed,,,3
uddulu,AJ,shut; locked,,,3
uduggu,N,the sign ŠITA₂,,,3
uhhurtu,N,rear bar; grammatical term; rear bar under chariot,,,3
uhummu,N,mountain,,,3
ukkudu,AJ,(physically handicapped),,,3
ukurbalû,N,(a vinegar jar); vinegar jar,,,3
ullîš,AV,at that place; over there; later,,,3
ullû,AJ,exalted; very high; very tall,,,3
ullūtu,N,garrison; levied troops,,,3
umma,AV,saying,,,3
ummultu,N,sparkling one; (a designation for beds),,,3
umunnu,N,the sign IMIN,,,3
uppû,N,(a bird),,,3
uqquru,N,(a handicapped person); with twisted (feet),,,3
uqūpu,N,(a kind of monkey),,,3
urdu ēkalli,N,palace servant,,,3
urdānūtu,N,servitude,,,3
urrû,AJ,trimmed,,,3
urummu,N,(meaning unknown),,,3
urzababītu,N,(a lyre)?,,,3
usmû,N,two-faced being,,,3
ussulu,N,crippled one; paralyzed one,,,3
utlu,N,lap,,,3
ušuzzu,AJ,standing,,,3
uʾʾurtu,N,commission; behest; order,,,3
uḫulgallu,N,unfavourable day; evil day,,,3
wāšibtu,N,inhabitant; attender,,,3
yarahhu,N,(a kind of good quality grain),,,3
yāruttu,N,(a bush); aromatic substance from it,,,3
zahaṭû,N,battle-axe,,,3
zammāru,N,singer,,,3
zaqtu,N,pointed one; person with ziqtu disease,,,3
zarû,N,shaft,,,3
zazakku,N,(a registry official),DUB.SAR.ZAG.GA,𒁾𒊬𒍠𒂵,3
zihhu,N,(a mark on the liver); a mark on the liver,,,3
zilullû,N,vagrant,,,3
ziqittu,N,young cattle,,,3
zukkû,AJ,purified,,,3
zērūtu,N,hatred,,,3
zēʾirānu,N,enemy,,,3
zūqutu,N,(a small metal dish),,,3
âdu,V,take notice of; inform,,,3
āribu,N,raven,,,3
ēdānīu,AJ,single; lone horse,,,3
ēkīam,AV,where?,,,3
ēqūtu,N,(a cultic practice),,,3
ēru,AJ,awake,,,3
ēṭiru,N,saviour,KAR,,3
ša bīt ṣibitti,N,prisoner,,,3
ša-bēti-šanie,N,domestic servant,,,3
ša-huṭāri,N,staff-bearer,,,3
ša-muhhi-bīti,N,overseer of the household,,,3
ša-šēpi,N,(kingʾs) personal guard,,,3
šabābu,V,glow; glowing,,,3
šaddihu,AJ,far-reaching,,,3
šaggāšu,N,murderer,,,3
šaglû,AJ,deported; deportee,,,3
šagšu,N,slain one,,,3
šahappu,N,(a fish),,,3
šahhītu,N,provided with sails one; sailing boat,,,3
šahrartu,N,devastation,,,3
šahānu,V,be(come) hot; being hot; heat up,,,3
šahšahhu,N,slanderer; (a disease),,,3
šakin ṭēmi,N,(a minor administrator); provincial governot,,,3
šakkulu,V,wipe,,,3
šakāru,V,be(come) drunk; being drunk,,,3
šakṣu,AJ,scowling,,,3
šallutu,N,booty; captives,,,3
šaluššēni,AV,the year before last,,,3
šalāšû,N,thirtieth day of the month; thirtieth,,,3
šalāšû,NU,thirtieth day of month; thirtieth day of the month,,,3
šalšatu,NU,third,,,3
šalṭu,AJ,authoritative; authorized,,,3
šamnu ṭābu,N,sweet-scented oil,,,3
šamšatu,N,(sun-)disc; sun disc,,,3
šanduppu,N,ring; (an ornament); (an ornamental ring in stone),,,3
šannu,AJ,rivalled; rivalling; equal,,,3
šanûtī-,AV,for the second time,,,3
šanāṣu,V,sneer; sneering,,,3
šaplīu,AJ,lower,,,3
šapātu,V,be(come) malicious; be(com)ing malicious,,,3
šarbû,N,rabid one,,,3
šarhullu,N,(a metal implement); (a metal object),,,3
šarrû,V,begin; start,,,3
šarābu,V,wander about; wandering about,,,3
šatqu,AJ,cracked; split,,,3
šatti,AV,therefore; thereupon,,,3
šeleppāyu,N,(a type of craftsman); architect,,,3
šeššig,AJ,sign with added cross-hatching,,,3
šeʾtu,N,mattress,,,3
šibiṭ šāri,N,(a disease),,,3
šihiṭ šamši,N,sunrise,,,3
šihlu,AJ,second-rate,,,3
šikkūtu,N,string of beads,,,3
šinūnūtu,N,(type of) swallow; swallow,,,3
šipassu,N,clay sealing; sealed bulla,,,3
šipšatu,N,(length of) wood; beam?,,,3
šitiptu,N,excision?,,,3
šitnuntu,N,combat,,,3
šitpuru,V,outfit; outfitting,,,3
šitpuṣu,AJ,quarrelsome,,,3
šišnu,N,(a grass),,,3
šiššu,N,silence,,,3
šuhnu,N,heat,,,3
šukbutu,AJ,made heavy,,,3
šukāmu,N,scribal art,,,3
šullāmu,N,(a type of horse),,,3
šuluṭṭu,N,(a preparation of aromatics),,,3
Šumeru,N,Sumerian language; Sumerian (language); Sumerian,,,3
šunuʾtu,N,two(-animal) plough,,,3
šupuḫru,N,(a variety or part of the cedar),,,3
šupšuhu,AJ,relaxed,,,3
šupšuqiš,AV,very laboriously,,,3
šurdû,AJ,allowed to flow; flowing; allow to flow; overflowing,,,3
šurru,AJ,bowing oneself down; descending,,,3
šuzuzzu,AJ,caused to stand up; forced to endure; stationed,,,3
šuʾillû,N,(a ritual object),,,3
šêru,V,rise early; rising early; do something in the morning,,,3
šābulu,N,dried one,,,3
šēlu,AJ,sharpened,,,3
šēlūʾutu,N,upward consignment; scum,,,3
šūhuzu,AJ,caused to seize; instructed,,,3
šūṣû,AJ,made to leave; revealed; protrduing; brought out,,,3
ūm eššēši,N,(a feast day),,,3
ūm mašil,N,midday,,,3
ḫabālu,V,do wrong; be(come) harmed; be(come) wronged,,,3
ḫašḫūrakku,N,'apple' bush; 'apple'-bush,,,3
ḫīqu,AJ,mixed; diluted beer,,,3
ṣabābu,V,flutter (about); care for; teaching (fledglings) to spread (wings),,,3
ṣabību,N,(a wooden object),,,3
ṣalpu,AJ,sliced; crooked; wicked,,,3
ṣalāpu,V,cut (at an angle); cutting (at an angle); crossing out,,,3
ṣelû,V,insult; betray; ignite; burning,,,3
ṣemru,AJ,swollen,,,3
ṣemēru,V,swell up; swelling up,,,3
ṣimertu,N,swollen state; distension,,,3
ṣudduru,AJ,squinting,,,3
ṣurhu,N,heat,,,3
ṣurrupu,AJ,crying out loudly; refined; burnt; dark red,,,3
ṣurrānītu,N,ṣurru-like stone,,,3
ṣālilu,AJ,sleeping; resting,,,3
ṣēlû,AJ,"on its side; on its side, sideways",,,3
ṣēlānû,AJ,with prominent ribs,,,3
ṭaplu,N,slandered one,,,3
ṭapāru,V,press towards; drive away; drive off,,,3
ṭarīdūtu,N,condition of fugitive,KUR,𒆳,3
ṭebû,AJ,sunken,,,3
ṭibhu,N,(meaning uncertain); (object on wheel),,,3
ṭubbuhu,AJ,slaughtered,,,3
ṭupullû,N,slander,,,3
ṭēmūtu,N,of order,,,3
ṭīru,N,(a kind of tree or shrub); (kind of tree or shrub),,,3
aban tasniqti,N,touchstone,,,2
aban zuqiqīpi,N,(a precious stone),,,2
aban-ṣerri-peṣû,N,white 'snake stone',,,2
abati,N,(meaning unknown),,,2
abbuttānu,N,wearer of abbuttu hair-style; (a fish),,,2
abriš,AV,like a stack of wood,,,2
adarburtu,N,(a bird),,,2
adi libbi,PRP,until,,,2
adi mati,QP,how long?,,,2
agadibbu,N,hand seeder-plough,,,2
agargarītu,N,(a mineral),,,2
aggu,N,furious one; fury,,,2
agru,AJ,hired,,,2
agugiltu,N,sorceress; (a type of witch),,,2
ah abi,N,uncle,,,2
ahamma,AV,apart,,,2
ahrûtu,N,descendants,,,2
ahû,V,fraternize; fraternizing,,,2
akiltu,N,expended goods; consumption,,,2
Akkadû,N,Akkadian language,,,2
akkilu,N,eater,,,2
akûtu,N,disablement; state of being crippled,,,2
akīlu,N,eater,,,2
alahhinu,N,miller?,,,2
alamgû,N,seal-cutter,,,2
alapû,N,(an aquatic plant),,,2
allakkāniš,N,Kaniš-oak,,,2
allallu,AJ,powerful; brave,,,2
almīn,AV,without number,,,2
alūtu,N,(a kind of soup),,,2
amahhu,N,enceinte; city wall,,,2
amaluktu,N,(a cultic functionary),,,2
amandēnu,N,(a farm tool),,,2
amhara,N,(a medicinal plant),,,2
amišu,N,enemy,,,2
ammûri,AV,at that time; likewise,,,2
ammīni,QP,why?,,,2
amrû,N,beam; timber,,,2
amīru,N,obstruction of the ear one,,,2
amšāla,AV,yesterday,,,2
amšāli,AV,yesterday,,,2
ana mala,AV,altogether; utterly,,,2
ana surri,AV,forthwith,,,2
andurunna,N,heavenly abode,,,2
anhu,N,tired one; dilapidated section(s),,,2
annikīam,AV,here,,,2
ansamullu,N,(a class of person),,,2
antu,N,ear of barley,,,2
Anu,DN,1,,,2
anubu,N,(unknown meaning),,,2
anummīkê,AV,there,,,2
apiš,AV,like reed-beds; like reeds,,,2
appatiš,AV,as with a bridle,,,2
aqru,AJ,rare,,,2
arariyānu,N,(a plant),,,2
arattû,N,(a kind of throne),,,2
Arbail,SN,Arbela,,,2
arbīšu,AV,four times,,,2
argukku,N,roller,,,2
arhānû,N,(an intestinal disorder),,,2
ariḫu,N,(a plant); (a kind of milkweed),,,2
arkabinnu,N,half-door,,,2
arkillaya,N,(an animal figure)?,,,2
arkillâ,N,(animal figure)?; (an animal figure)?,,,2
arku,N,long one,,,2
arnabanu,N,type of wine?,,,2
arraku,AJ,very long,,,2
arwiu,N,male gazelle,,,2
arû,AJ,pregnant,,,2
arāqu,V,be(come) green-yellow; be(come) pale,,,2
arāru,N,curse; curser,,,2
arūtu,N,(clay) pipe,,,2
asmātu,N,(a type of horse trappings),,,2
assaru,N,charioteer,,,2
atnu,N,prayer,,,2
atti,IP,you (f.),,,2
attimannu,XP,whoever you are,,,2
awīl narkabti,N,charioteer,,,2
ayalum,N,(a special cubit measure),,,2
ayyarahi,N,gold,,,2
ayyaʾūtu,N,function of the goddess Aya,,,2
ayyiš,QP,where?,,,2
ayyānu,QP,where?,,,2
azal,N,(meaning unknown),,,2
azangunû,N,(a bird),,,2
azibatu,N,help,,,2
azugallu,N,chief physician,A.ZU.GAL,𒀀𒍪𒃲,2
azupuru,N,(a medicinal plant),,,2
azuru,N,meaning unknown,,,2
ašarēdūta alāku,V,take first place,,,2
ašnu,N,(a bowl); cup,,,2
ašû,AJ,distinguished,,,2
aššišu,N,ordered one?,,,2
āriru,N,miller,,,2
aḫê,AV,separately,,,2
aṣābu,V,add,,,2
badāmu,V,(meaning unknown),,,2
bahû,V,be(come) thin; be(com)ing thin,,,2
bakkītu,N,wailing woman,,,2
balaggu,N,the sign BALAG,,,2
balû,V,extinguish; exterminating,,,2
banûtu,N,distinction; beauty,,,2
baqālu,V,malt; malting,,,2
barbartu,N,she-wolf,,,2
barumtu,N,coloured wool,,,2
bayyātu,N,nocturnal offering ritual,,,2
bašītu,N,what is present; goods,,,2
baʾāšu,V,smell bad; besmirch,,,2
baʾūlu,AJ,great; very large?,,,2
berîš,AV,in hunger,,,2
berû,N,hungry one,,,2
berûtu,N,hunger; starvation,,,2
bibītu,N,(a demon or disease),,,2
birhu,N,(meaning unknown),,,2
birihhu,N,string,,,2
birmu,AJ,multicoloured,,,2
birûtu,N,divination,,,2
bitru,N,(meaning uncertain),,,2
bitrumu,AJ,very colourful; piebald,,,2
buhru,AJ,cooked state,,,2
buhru,N,cooked state; hot dish,,,2
bulīli,N,(a species of crested bird),,,2
buppāni,AV,face down,,,2
burallu,N,(a stone object); beryl,,,2
burbāni,N,(meaning unknown),,,2
BurDama,N,(a plant),,,2
burmu,N,colour(ed) part,,,2
buršašillu,N,(a stone bowl); (a stone),,,2
bussuru,AJ,reported,,,2
butinnu,N,button,,,2
butuqqû,N,loss(es),,,2
bušālu,N,what has been cooked,,,2
bâšu,AJ,ashamed,,,2
BÍL.LÁ,N,(meaning unknown),,,2
bābānu,AV,at the gate; outside,,,2
bānû,AJ,creator,,,2
bēl egerrî,N,male slanderer,,,2
bēl nakri,N,enemy,,,2
bēl ṣāssi,N,legal opponent; opponent,,,2
bēlet dīni,N,female accuser,,,2
bēlet egerrî,N,female slanderer,,,2
bēlet lemutti,N,female adversary,,,2
bēt dūri,N,fortified site,,,2
bēt kāri,N,port of trade,,,2
bēt mardīti,N,road station,,,2
bēt rimki,N,ablution ritual; ablution chamber,,,2
bēšu,N,far apart one,,,2
bīdiya,AV,with my (own) hand,,,2
bīt kimahhi,N,burial chamber,,,2
bīt kunukki,N,sealed storeroom,,,2
bīt mayyāli,N,bedroom,,,2
bīt musâte,N,lavatory,,,2
bīt rēʾî,N,shepherd's hut,,,2
bīt-rēdûti,N,succession palace,,,2
bītanû,N,inner; interior,,,2
dabûiš,AV,like a bear,,,2
dahru,N,angry one,,,2
dahru,AJ,angry,,,2
dakiu,AJ,raised; mobilized,,,2
dakāšu,V,press in; pressing in,,,2
dalpu,N,sleepless one; (designation of gold),,,2
dalāmu,N,(designation of the underworld)?,,,2
damiqtu,AJ,good,,,2
dannat kūṣi,N,depth of winter,,,2
dannina,N,nether world,,,2
dappānu,N,warlike one,,,2
dayyaltu,N,(hunting) foray,,,2
dayyiqu,N,siege wall(s),,,2
dayyānūtu,N,judicature,,,2
dayāltu,N,(hunting) foray; raid; (synodic) revolution,,,2
dibdibbu,N,waterclock,,,2
digir,N,the sign AN,,,2
digirû,N,god,,,2
dilpu,N,effort,,,2
dilu,N,(meaning unknown),,,2
dimmatu,N,wailing,,,2
dimmu,N,the sign DIM; the sign PAP.PAP,,,2
diqārūtu,N,(a small bowl),,,2
dirratu,N,lash (of whip),,,2
dišarru,N,oats,,,2
dukdu,N,(kind of nuts); pistachio nuts,,,2
dukkumu,AJ,worn down,,,2
duluhhû,N,disturbance,,,2
dumāqī,N,jewellery,,,2
dunsānu,N,(a vessel),,,2
duppuru,AJ,moved away,,,2
durdû,N,goddess,,,2
durāʾu,N,arm,,,2
dušû̂,N,quartz,,,2
duāru,V,surround; encircle,,,2
duʾʾumu,N,very dark one,,,2
dâdānu,N,tendon of the neck,,,2
dêpu,V,lay the warp; laying the warp,,,2
DÍDA.GU.LA,N,'large' beerwort,,,2
dû,N,the sign LAGAR@g,,,2
dāgil iṣṣūri,N,augur,,,2
dārû,N,lasting one; old age,,,2
dāʾikānu,N,murderer,,,2
dīnu,AJ,judged,,,2
dūšu,N,(meaning unknown),,,2
ebhu,N,(a rope or girdle); belt,,,2
ebēhu,V,gird; belt up,,,2
edammû,N,(a dream interpreter),,,2
eddēšu,N,constantly self-renewing one,,,2
edqu,AJ,dressed; tied on,,,2
edullû,N,(an administrative building?); (an administrative building),,,2
edēnû,AJ,single,,,2
egru,AJ,transverse,,,2
ekkēmu,N,robber,,,2
